Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
GradientX Sdn Bhd,FCI,Data Science,TB09,"A-08-01 Ekocheras, 693 Jalan Cheras, 56000 Kuala Lumpur, Malaysia",3.0951478,101.7383586,1
Guard Genius Sdn. Bhd.,FCI,Game Development,TB11,"No 41-M, JALAN SS2/64, SS 2, 47300 Petaling Jaya, Selangor",3.2430076,101.6778001,1
HABIB Group,FCI,Information System,TB13,"Habib Jewels Sdn Bhd (168002-W). 106, Lorong Mamanda 2, Ampang Point 68000 Ampang, Selangor",3.1577567,101.7511395,1
HPMT Industries Sdn. Bhd.,FCI,Data Science,TB09,"5, Jalan Sungai Kayu Ara 32/39,Taman Berjaya, Seksyen 32, 40460 Shah Alam, Selangor.",2.97959,101.51481,1
HRD Corp - Human Resource Development Corporation,FCI,Information System,TB13,"Wisma HRD Corp, Jalan Beringin, Bukit Damansara, 50490 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.1507676,101.6633125,1
HSL Constructor Sdn Bhd,FCI,Software Engineering,TB08,"No. 90-3A, Jalan 7, Era Square, 70200 Seremban, Negeri Sembilan",2.725947,101.9316442,1
Hannover RE,FCI,Data Science,TB09,"Hannover Rueck SE, Malaysian Branch, Level 32, Mercu 2, No. 3, Jalan Bangsar, KL Eco City, 59200 Kuala Lumpur, Malaysia.",3.1173508,101.6732033,1
Hashcode Studio Sdn Bhd,FCI,Game Development,TB11,"D-07-08, Menara Suezcap 1, KL Gateway, No. 2, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",3.1142135,101.6629229,2
Hashcode Studio Sdn Bhd,FCI,Software Engineering,TB08,"D-07-08, Menara Suezcap 1, KL Gateway, No. 2, Jalan Kerinchi, Bangsar South, 59200 Kuala Lumpur",3.1142135,101.6629229,1
Huawei Technologies (Malaysia) Sdn Bhd,FCI,Software Engineering,TB08,"Tun Razak Exchange, Imbi, 55100 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.142798,101.7167325,1
Huawei Technologies (Malaysia) Sdn Bhd,FCI,Information System,TB13,"Suite 32-01, Level 32, Integra Tower, The Intermark, 348, Jalan Tun Razak, 50400 Kuala Lumpur, Malaysia",3.160878,101.7202945,1
IBM GDC Cyberjaya,FCI,Data Science,TB09,"Block A, Quill 18, Lingkaran Teknokrat 3 Barat, Cyber 4,63000, Cyberjaya, Selangor",2.9244494,101.654018,3
IBM Malaysia Sdn Bhd,FCI,Cybersecurity,TB10,"19, 8, First Ave, Bandar Utama, 47800 Petaling Jaya, Selangor",3.1466337,101.6174378,1
IBPO Group Berhad,FCI,Data Science,TB09,"Level 23, Menara Exchange 106, Lingkaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Malaysia.",3.1408633,101.7181832,1
IC Microsystems Sdn Bhd,FCI,Information System,TB13,"Unit B-G-03, CoPlace 2, 2260, Jalan Usahawan 1, 63000 Cyberjaya, Selangor",2.9256741,101.6629164,1
IDEAL RELIANCE SDN BHD,FCI,Cybersecurity,TB10,"Ground Floor, Level 1 & 2, Block B, Quill 18, Lingkaran Teknokrat 3 Barat, Cyber 4, Sepang 63000 Cyberjaya.",2.9244494,101.654018,1
INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA,FCI,Software Engineering,TB08,"Jln Gombak, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.2585406,101.7248958,1
IPG Kampus Pendidikan Islam,FCI,Data Science,TB09,"Institut Pendidikan Guru Kampus Pendidikan Islam Jalan Maktab, Off Jalan, Ayer Hitam Seksyen 12 43650 Bandar Baru Bangi Selangor Darul Ehsan",2.9460974,101.7503205,1
IPGA Management Services Sdn Bhd (REA Group Ltd),FCI,Data Science,TB09,"Suite 35.01, Level 35, The Gardens South Tower, Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur",3.1173536,101.6752498,1
IPS SOFTWARE SDN BHD,FCI,Software Engineering,TB08,"T3-26-02, Pusat Perdagangan Icon City, No. 1B, Jalan SS8/39, SS8, Petaling Jaya, 47300 Selangor Darul Ehsan, Malaysia.",3.0868226,101.6142011,1
IRGA Digital Sdn Bhd,FCI,Software Engineering,TB08,"No. 51, Jalan Bulan U5/166, Bandar Pinggiran Subang, Seksyen U5, 40150 Shah Alam, Selangor, Malaysia.",3.164281,101.551718,1
ITEA TECHNOLOGY (M) SDN BHD,FCI,Data Science,TB09,"37A, Jalan Harmonium 23/13, Taman Desa Tebrau,81100 Johor Bahru, Johor.",1.5545314,103.7962142,1
ITEA TECHNOLOGY (M) SDN BHD,FCI,Software Engineering,TB08,"37A, Jalan Harmonium 23/13, Taman Desa Tebrau,81100 Johor Bahru, Johor.",1.5545314,103.7962142,1
ITS Industrial Turbine Services Sdn Bhd,FCI,Data Science,TB09,"F-03-06, Block F, Puchong Prima Business Centre, Jalan Prima 5/3, Persiaran Prima Utama, Taman Puchong Prima, 47150 Puchong, Selangor, Malaysia.",2.98809,101.5956839,1
Ikhlas Com Travel Sdn Bhd,FCI,Software Engineering,TB08,"Ikhlas Com Travel Sdn Bhd, airasia academy, East Wing, Level 4 Stesen Sentral, 50470 Kuala Lumpur Malaysia",3.1338823,101.6852238,1
Inari Technology Sdn. Bhd.,FCI,Data Science,TB09,"Plot 51, Jalan Hilir Sungai Keluang 4, Phase 4 Bayan Lepas FIZ, 11900 Bayan Lepas, Penang",5.3161948,100.2879469,2
